Gene	Gene_Symbol	Predict	Prob_0	Prob_1
chr3:19988572-20026667	RAB5A	1.0	0.032	0.968
chr6:961241-1101567	LINC01622	1.0	0.046	0.954
chr11:4665156-4676716	OR51E1	1.0	0.066	0.934
chr5:57878871-58155222	RAB3C	1.0	0.094	0.906
chr2:179694484-179914786	CCDC141	1.0	0.094	0.906
chr14:101355986-101465450	MEG8	1.0	0.1	0.9
chr6:8435856-8785678	LOC100506207	1.0	0.136	0.864
chr10:87359312-88126250	GRID1	1.0	0.136	0.864
chr6:8435856-8712526	LOC100506207	1.0	0.136	0.864
chr1:33231235-33240571	KIAA1522	1.0	0.154	0.846
chr22:32870707-32894818	FBXO7	1.0	0.158	0.842
chr8:17154306-17271040	MTMR7	1.0	0.168	0.832
chr12:96043031-96067770	PGAM1P5	1.0	0.168	0.832
chr3:29322803-30032809	RBMS3	1.0	0.174	0.826
chr3:29322803-30051886	RBMS3	1.0	0.174	0.826
chr5:169064251-169510386	DOCK2	1.0	0.176	0.824
chr3:191857182-192445388	FGF12	1.0	0.178	0.822
chr3:191857182-192126838	FGF12	1.0	0.178	0.822
chr6:80340822-80413387	SH3BGRL2	1.0	0.18	0.82
chr11:95523625-95565857	CEP57	1.0	0.182	0.818
chr2:86730553-86790620	CHMP3	1.0	0.186	0.814
chr2:86730553-86948245	RNF103-CHMP3	1.0	0.186	0.814
chr10:61786056-61900774	ANK3	1.0	0.192	0.808
chr10:61786056-62149742	ANK3	1.0	0.192	0.808
chr10:61786056-62332714	ANK3	1.0	0.192	0.808
chr10:61786056-62493284	ANK3	1.0	0.192	0.808
chr11:102391239-102401484	MMP7	1.0	0.194	0.806
chr3:147795946-147805816	LINC02032	1.0	0.2	0.8
chr2:99235569-99279936	MGAT4A	1.0	0.214	0.786
chr2:99235569-99347589	MGAT4A	1.0	0.214	0.786
chr2:28607276-28617539	FLJ31356	1.0	0.216	0.784
chr1:19923471-19984949	MINOS1-NBL1	1.0	0.222	0.778
chr1:19923471-19956315	MINOS1	1.0	0.222	0.778
chr1:210502640-210849638	HHAT	1.0	0.226	0.774
chr14:74254063-74270331	LOC100506476	1.0	0.23	0.77
chr20:4129426-4168394	SMOX	1.0	0.232	0.768
chr20:3827446-3856770	MAVS	1.0	0.24	0.76
chr2:33931953-34522813	LINC01317	1.0	0.24	0.76
chr5:119801326-120023025	PRR16	1.0	0.242	0.758
chr5:148724977-148734146	GRPEL2	1.0	0.244	0.756
chr8:116962736-117337297	LINC00536	1.0	0.248	0.752
chr3:8775486-8788451	CAV3	1.0	0.25	0.75
chr8:16850334-16859674	FGF20	1.0	0.252	0.748
chr16:57023397-57117436	NLRC5	1.0	0.254	0.746
chr2:160568968-160625094	MARCH7	1.0	0.256	0.744
chr1:19197924-19217385	ALDH4A1	1.0	0.256	0.744
chr14:59100786-59115038	DACT1	1.0	0.26	0.74
chr12:113536624-113573404	RASAL1	1.0	0.26	0.74
chr12:113536624-113573559	RASAL1	1.0	0.26	0.74
chr12:113536624-113574044	RASAL1	1.0	0.26	0.74
chr11:44587141-44641315	CD82	1.0	0.262	0.738
chr4:106092511-106274038	TET2-AS1	1.0	0.266	0.734
chr8:104133260-104152583	LINC01181	1.0	0.268	0.732
chr2:105880847-105946171	TGFBRAP1	1.0	0.268	0.732
chr1:47715811-47779819	STIL	1.0	0.274	0.726
chr2:105880871-105946113	TGFBRAP1	1.0	0.276	0.724
chr20:56223448-56285670	PMEPA1	1.0	0.278	0.722
chr20:56223448-56286592	PMEPA1	1.0	0.278	0.722
chr3:3131857-3152058	IL5RA	1.0	0.278	0.722
chr9:131219186-131257119	ODF2	1.0	0.282	0.718
chr1:225965515-225978168	SRP9	1.0	0.284	0.716
chr12:41302159-41466213	CNTN1	1.0	0.288	0.712
chr7:7676194-7758238	RPA3	1.0	0.288	0.712
chr11:102218105-102249401	BIRC2	1.0	0.288	0.712
chr9:104231604-104243788	TMEM246-AS1	1.0	0.288	0.712
chr11:100900355-101000544	PGR	1.0	0.292	0.708
chr11:100900355-100999794	PGR	1.0	0.292	0.708
chr11:100900355-101000458	PGR	1.0	0.292	0.708
chr17:11880756-11900827	ZNF18	1.0	0.294	0.706
chr17:11880756-11900689	ZNF18	1.0	0.294	0.706
chr20:61904137-61921142	ARFGAP1	1.0	0.296	0.704
chr9:116172988-116191964	C9orf43	1.0	0.296	0.704
chr6:148829271-148873186	SASH1	1.0	0.296	0.704
chr1:33611003-33647671	TRIM62	1.0	0.296	0.704
chr1:33611003-33642151	TRIM62	1.0	0.296	0.704
chr12:25261223-25348096	CASC1	1.0	0.298	0.702
chr19:41892276-41903256	EXOSC5	1.0	0.298	0.702
chr7:156264793-156395889	LINC01006	1.0	0.3	0.7
chr9:95883771-95896570	NINJ1	1.0	0.306	0.694
chr12:28115254-28124916	PTHLH	1.0	0.306	0.694
chr17:6679552-6690965	FBXO39	1.0	0.308	0.692
chr5:34687664-34832717	RAI14	1.0	0.308	0.692
chr12:52979373-52995322	KRT72	1.0	0.31	0.69
chr12:31824071-31882108	AMN1	1.0	0.31	0.69
chr9:81750338-81760581	LOC101927450	1.0	0.312	0.688
chr5:16662016-16936385	MYO10	1.0	0.314	0.686
