chr1:14362-29370	WASH7P
chr1:700245-714068	LOC100288069
chr1:762971-778984	LINC01128
chr1:762971-794826	LINC01128
chr1:763178-794826	LINC01128
chr1:861121-879961	SAMD11
chr1:879583-894679	NOC2L
chr1:1017198-1051736	C1orf159
chr1:1152288-1167447	SDF4
chr1:1189292-1209234	UBE2J2
chr1:1215816-1227409	SCNN1D
chr1:1246965-1260067	INTS11
chr1:1270658-1284492	DVL1
chr1:1288069-1298921	MXRA8
chr1:1321091-1333722	CCNL2
chr1:1321091-1334718	CCNL2
chr1:1321091-1334722	CCNL2
chr1:1385069-1405538	ATAD3C
chr1:1413495-1431584	ATAD3B
chr1:1550795-1565990	MIB2
chr1:1551245-1565990	MIB2
chr1:1570603-1655859	CDK11B
chr1:1592939-1624243	SLC35E2B
chr1:1633823-1656004	CDK11A
chr1:1656277-1677438	SLC35E2
chr1:1682671-1710297	NADK
chr1:1682671-1711508	NADK
chr1:1716724-1822556	GNB1
chr1:1853390-1935276	CFAP74
chr1:2005086-2116834	PRKCZ
chr1:2115899-2126214	FAAP20
chr1:2120988-2144159	FAAP20
chr1:2160134-2241652	SKI
chr1:2252692-2323190	MORN1
chr1:2286614-2323190	MORN1
chr1:2306293-2323190	MORN1
chr1:2323214-2336885	RER1
chr1:2398898-2436969	PLCH2
chr1:2407754-2436969	PLCH2
chr1:2439970-2458067	PANK4
chr1:2497974-2515973	LOC100996583
chr1:2522081-2564481	MMEL1
chr1:2985742-3355185	PRDM16
chr1:3371147-3397677	ARHGEF16
chr1:3404506-3528059	MEGF6
chr1:3547331-3566671	WRAP73
chr1:3569129-3652765	TP73
chr1:3614610-3652765	TP73
chr1:3652548-3663937	TP73-AS1
chr1:3696784-3713068	LRRC47
chr1:3773831-3801993	DFFB
chr1:3805697-3816857	C1orf174
chr1:3816968-3832011	LINC01134
chr1:4000672-4012643	LINC01346
chr1:4715105-4837854	AJAP1
chr1:4715105-4843851	AJAP1
chr1:6086073-6161253	KCNAB2
chr1:6094348-6161253	KCNAB2
chr1:6105981-6161253	KCNAB2
chr1:6106174-6161253	KCNAB2
chr1:6245080-6259679	RPL22
chr1:6266189-6281359	RNF207
chr1:6281253-6296044	ICMT
chr1:6324332-6420764	ACOT7
chr1:6324332-6453826	ACOT7
chr1:6526152-6545529	PLEKHG5
chr1:6526152-6546014	PLEKHG5
chr1:6526152-6550640	PLEKHG5
chr1:6526152-6557484	PLEKHG5
chr1:6581407-6614658	NOL9
chr1:6615338-6639817	TAS1R1
chr1:6640051-6649340	ZBTB48
chr1:6650784-6662958	KLHL21
chr1:6685210-6695646	THAP3
chr1:6845384-6948261	CAMTA1
chr1:7729790-7829766	CAMTA1
chr1:7729825-7829766	CAMTA1
chr1:7764865-7829766	CAMTA1
chr1:7764898-7829766	CAMTA1
chr1:7764905-7829766	CAMTA1
chr1:7764913-7829766	CAMTA1
chr1:7764918-7829766	CAMTA1
chr1:7764924-7829766	CAMTA1
chr1:7831329-7841492	VAMP3
chr1:8021714-8045342	PARK7
chr1:8378145-8404227	SLC45A1
chr1:8412464-8483747	RERE
chr1:8484705-8495076	LOC102724552
chr1:8921059-8931635	ENO1
chr1:8921059-8939151	ENO1
chr1:9005893-9034503	CA6
chr1:9063359-9086404	SLC2A7
chr1:9097005-9129887	SLC2A5
chr1:9097005-9132286	SLC2A5
chr1:9101427-9129887	SLC2A5
chr1:9208070-9242397	MIR34AHG
chr1:9294863-9331394	H6PD
chr1:9352941-9429590	SPSB1
chr1:9599528-9642831	SLC25A33
chr1:9648932-9665020	TMEM201
chr1:9648932-9674935	TMEM201
chr1:9711789-9788980	PIK3CD
chr1:9732484-9747632	PIK3CD-AS2
chr1:9751525-9788980	PIK3CD
chr1:9789079-9884584	CLSTN1
chr1:9908334-9970316	CTNNBIP1
chr1:9982171-10003485	LZIC
chr1:9986356-10003485	LZIC
chr1:10002981-10045556	NMNAT1
chr1:10057255-10076078	RBP7
chr1:10459049-10480568	PGD
chr1:10490159-10502872	CENPS
chr1:10490804-10502872	CENPS
chr1:10490804-10512060	CENPS-CORT
chr1:10520603-10532613	DFFA
chr1:10535003-10690815	PEX14
chr1:10707263-10856733	CASZ1
chr1:11006530-11042094	C1orf127
chr1:11072679-11085549	TARDBP
chr1:11333255-11359628	UBIAD1
chr1:11539295-11597640	DISP3
chr1:11714432-11723384	FBXO44
chr1:11724150-11734409	FBXO6
chr1:11734537-11751678	MAD2L2
chr1:11751781-11780336	DRAXIN
chr1:11796142-11810828	AGTRAP
chr1:11822250-11849642	C1orf167
chr1:11845787-11863734	MTHFR
chr1:11845787-11866160	MTHFR
chr1:11866153-11903201	CLCN6
chr1:11994724-12035599	PLOD1
chr1:12123434-12204264	TNFRSF8
chr1:12227060-12269277	TNFRSF1B
chr1:12290096-12572098	VPS13D
chr1:12627939-12656409	DHRS3
chr1:12627939-12676788	DHRS3
chr1:12627939-12677737	DHRS3
chr1:12704566-12727097	AADACL4
chr1:12776118-12788726	AADACL3
chr1:12806134-12821102	C1orf158
chr1:12998302-13007406	PRAMEF6
chr1:13108514-13117751	PRAMEF5
chr1:13359819-13369057	PRAMEF5
chr1:13516066-13526943	PRAMEF20
chr1:13736907-13747803	PRAMEF20
chr1:13801445-13840242	LRRC38
chr1:13910252-13944452	PDPN
chr1:13911967-13944452	PDPN
chr1:14026735-14151574	PRDM2
chr1:14031350-14114574	PRDM2
chr1:14075876-14114574	PRDM2
chr1:14925213-15444544	KAZN
chr1:15256296-15394651	KAZN
chr1:15272415-15394651	KAZN
chr1:15479028-15546974	TMEM51
chr1:15480207-15546976	TMEM51
chr1:15480229-15546974	TMEM51
chr1:15573768-15724622	FHAD1
chr1:15736391-15756839	EFHD2
chr1:15783223-15798586	CELA2A
chr1:15802596-15817895	CELA2B
chr1:15817896-15850940	CASP9
chr1:15817896-15851285	CASP9
chr1:15853308-15898228	DNAJC16
chr1:15898194-15911605	AGMAT
chr1:16010798-16061264	PLEKHM2
chr1:16083154-16113089	FBLIM1
chr1:16085255-16113089	FBLIM1
chr1:16160710-16174642	FLJ37453
chr1:16174359-16266950	SPEN
chr1:16268364-16302627	ZBTB17
chr1:16348486-16360545	CLCNKA
chr1:16370231-16383821	CLCNKB
chr1:16450832-16482604	EPHA2
chr1:16524349-16539166	ARHGEF19
chr1:16573335-16678986	FBXO42
chr1:16693525-16724643	SZRD1
chr1:16725138-16763919	SPATA21
chr1:16767167-16786584	NECAP2
chr1:16793931-16819196	CROCCP3
chr1:16944751-16957401	CROCCP2
chr1:17017713-17046652	ESPNP
chr1:17081129-17090975	MST1L
chr1:17248445-17299474	CROCC
chr1:17345225-17380665	SDHB
chr1:17393256-17445948	PADI2
chr1:17575593-17610727	PADI3
chr1:17634690-17690495	PADI4
chr1:17698691-17728195	PADI6
chr1:17733251-17765059	RCC2
chr1:17733251-17766250	RCC2
chr1:17866330-18024364	ARHGEF10L
chr1:17866330-18024370	ARHGEF10L
chr1:17907048-18024370	ARHGEF10L
chr1:17944808-18024364	ARHGEF10L
chr1:17944808-18024370	ARHGEF10L
chr1:18081808-18153558	ACTL8
chr1:18434240-18704977	IGSF21
chr1:18957500-19062632	PAX7
chr1:18957500-19075360	PAX7
chr1:19166093-19186155	TAS1R2
chr1:19197924-19217385	ALDH4A1
chr1:19230774-19282826	IFFO2
chr1:19401000-19536746	UBR4
chr1:19536880-19556657	LOC101927895
chr1:19536880-19567198	LOC101927895
chr1:19629202-19638640	AKR7A2
chr1:19638740-19655794	PQLC2
chr1:19638740-19658922	PQLC2
chr1:19665267-19811201	CAPZB
chr1:19665267-19812135	CAPZB
chr1:19700669-19812135	CAPZB
chr1:19923471-19956315	MINOS1
chr1:19923471-19984949	MINOS1-NBL1
chr1:19969723-19984949	NBL1
chr1:19969903-19984949	NBL1
chr1:19970208-19984949	NBL1
chr1:19970667-19984949	NBL1
chr1:19971866-19984949	NBL1
chr1:19972260-19984949	NBL1
chr1:19974104-19984949	NBL1
chr1:19991780-20007459	HTR6
chr1:20208888-20239437	OTUD3
chr1:20396701-20418394	PLA2G5
chr1:20465823-20476879	PLA2G2F
chr1:20489585-20503857	PLA2G2C
chr1:20617412-20681387	VWA5B1
chr1:20915444-20945400	CDA
chr1:20959948-20978004	PINK1
chr1:20969150-20978686	PINK1-AS
chr1:20990507-21044510	KIF17
chr1:21046225-21059133	SH2D5
chr1:21069171-21113181	HP1BP3
chr1:21132785-21437876	EIF4G3
chr1:21132785-21503381	EIF4G3
chr1:21267738-21494532	EIF4G3
chr1:21543740-21606183	ECE1
chr1:21543740-21616766	ECE1
chr1:21543740-21672034	ECE1
chr1:21766583-21811393	NBPF3
chr1:21835851-21904905	ALPL
chr1:21922714-21978348	RAP1GAP
chr1:21922714-21995873	RAP1GAP
chr1:22005072-22109692	USP48
chr1:22054339-22109692	USP48
chr1:22148725-22263790	HSPG2
chr1:22303387-22315847	CELA3B
chr1:22328149-22339035	CELA3A
chr1:22379120-22417296	CDC42
chr1:22379120-22419436	CDC42
chr1:22443798-22469519	WNT4
chr1:22778344-22857650	ZBTB40
chr1:22889995-22916112	EPHA8
chr1:22889995-22930087	EPHA8
chr1:23037331-23247993	EPHB2
chr1:23279536-23291923	LACTBL1
chr1:23345941-23410184	KDM1A
chr1:23410516-23495351	LUZP1
chr1:23631181-23670857	HNRNPR
chr1:23685941-23694879	ZNF436
chr1:23685941-23696357	ZNF436
chr1:23707402-23751272	TCEA3
chr1:23755056-23810750	ASAP3
chr1:23832920-23857712	E2F2
chr1:23953824-23967058	MDS2
chr1:24086872-24104787	ELOA-AS1
chr1:24104876-24114722	PITHD1
chr1:24128367-24151949	HMGCL
chr1:24171572-24194859	FUCA1
chr1:24200460-24239817	CNR2
chr1:24290837-24306953	SRSF10
chr1:24382531-24438665	MYOM3
chr1:24446261-24469775	IL22RA1
chr1:24480647-24513765	IFNLR1
chr1:24645812-24690970	GRHL3
chr1:24646056-24681808	GRHL3
chr1:24683489-24740262	STPG1
chr1:24739977-24799473	NIPAL3
chr1:24742240-24781314	NIPAL3
chr1:24742240-24792833	NIPAL3
chr1:24742240-24799473	NIPAL3
chr1:24742515-24799473	NIPAL3
chr1:24828841-24863510	RCAN3
chr1:24829387-24863510	RCAN3
chr1:24834084-24863510	RCAN3
chr1:24840804-24863510	RCAN3
chr1:24865764-24882515	LOC100506985
chr1:24882567-24935818	NCMAP
chr1:24969594-24999772	SRRM1
chr1:24970050-24999772	SRRM1
chr1:25071760-25170815	CLIC4
chr1:25226002-25256770	RUNX3
chr1:25226002-25291501	RUNX3
chr1:25548767-25559013	SYF2
chr1:25568728-25664745	RSRP1
chr1:25598977-25656936	RHD
chr1:25629226-25664745	RSRP1
chr1:25688740-25747363	RHCE
chr1:25757349-25826698	TMEM57
chr1:26126667-26144713	SELENON
chr1:26146684-26159433	MTFR1L
chr1:26147319-26159433	MTFR1L
chr1:26160497-26185949	AUNIP
chr1:26187975-26197744	PAQR7
chr1:26210677-26232993	STMN1
chr1:26286258-26324648	PAFAH2
chr1:26348271-26362954	EXTL1
chr1:26503981-26516375	CNKSR1
chr1:26503981-26516376	CNKSR1
chr1:26517119-26529033	CATSPER4
chr1:26608773-26633195	UBXN11
chr1:26737259-26756219	LIN28A
chr1:26758773-26797795	DHDDS
chr1:26856249-26901520	RPS6KA1
chr1:26869603-26901520	RPS6KA1
chr1:26872343-26901520	RPS6KA1
chr1:27114454-27124894	PIGV
chr1:27153201-27182211	ZDHHC18
chr1:27205873-27216869	GPN2
chr1:27216979-27226962	GPATCH3
chr1:27248213-27273362	NUDC
chr1:27276047-27286901	KDF1
chr1:27425300-27481621	SLC9A1
chr1:27668483-27680423	SYTL1
chr1:27681670-27693357	MAP3K6
chr1:27938801-27952751	FGR
chr1:28157252-28178183	PPP1R8
